event_id,source_date,source_headline,source_id,source_office_id
152957,24.04.2014,"'Up to five' rebels killed in Slavyansk: Ukraine ministry",8047,23000
152957,24.04.2014,"'Up to five' killed in Ukraine assault on rebel-held towns",8048,23000
152957,24.04.2014,"Up to 5 killed as Ukraine army attacks rebels in flashpoint town",8049,23000
152957,24.04.2014,"Ukraine forces kill several separatists in Slaviansk operation",8050,23000
152957,24.04.2014,"UPDATE 2-Ukraine forces say kill separatists in Slaviansk operation",8051,23001
152957,24.04.2014,"Ukraine launches deadly assault on rebel-held towns",8052,23001
152957,24.04.2014,"At least one killed as Kiev troops launch attack on Ukraine?s Slavyansk",8053,23000
152957,24.04.2014,"Reuters World News Summary",8054,23004
152957,24.04.2015,"Kiev resumes special operation in Slavyansk: 5 activists dead- one policeman injured",8055,23001
399045,27.04.2021,Kutuzovka,8056,23010
399046,17.04.2021,"No Geoinfo",8057,23008
399063,27.04.2021,Karpovka,8058,23008
399053,2.05.2014,"Two Ukrainian soldiers die in renewed fighting near Slavyansk: Kiev",8059,23008
399053,2.05.2014,"Two Ukrainian soldiers die in renewed fighting near Slavyansk: Kiev",8060,23000
399053,27.04.2021,Andriivka,8061,23000
399053,27.04.2021,Andriivka,8062,23008
153027,2.05.2014,"Many rebels dead in Ukraine offensive: interim president",8063,23008
153027,2.05.2014,"3 rebels- 2 civilians killed in Ukraine assault on Slavyansk: insurgents",8064,23000
153037,2.05.2014,"Two Ukrainian soldiers die in renewed fighting near Slavyansk: Kiev",8065,23000
153037,2.05.2014,"Two Ukrainian soldiers die in renewed fighting near Slavyansk: Kiev",8066,23000
153037,27.04.2021,Andriivka,8067,23000
153037,27.04.2021,Andriivka,8068,23008
153149,3.05.2014,"ITAR-TASS news digest for May 3",8069,23008
153143,4.05.2014,"Ukraine expands 'anti-terrorism' op against pro-Russians",8070,23004
153143,4.05.2014,"Ukraine expands 'anti-terrorism' op against pro-Russians",8071,23000
153143,4.05.2014,"Fierce battles in Ukraine",8072,23000
153143,4.05.2014,"Fierce battles in Ukraine",8073,23000
153143,4.05.2014," OSCE team freed",8074,23000
153143,4.05.2014," OSCE team freed",8075,23000
153143,NULL,"Odessa violence flares anew as Kiev blames deaths on Russia",8076,23000
153143,NULL,"Odessa violence flares anew as Kiev blames deaths on Russia",8077,23011
153433,5.05.2014,"Ukraine crisis: 'Those fascists killed this girl and they will be in hell'",8078,23011
153154,5.05.2014,"Four Ukrainian troops killed in offensive on rebel-held town: officials",8079,23012
153154,5.05.2014,"Four Ukrainian troops killed in offensive on rebel-held town: officials",8080,23000
153154,5.05.2014,"UPDATE 2-Ukraine forces suffer casualties in Slaviansk clash-minister",8081,23000
153154,5.05.2014,"UPDATE 2-Ukraine forces suffer casualties in Slaviansk clash-minister",8082,23001
153154,6.05.2014,"UPDATE 4-Ukraine moves forces to Odessa- helicopter downed in east",8083,23001
153154,6.05.2014,"UPDATE 4-Ukraine moves forces to Odessa- helicopter downed in east",8084,23001
153154,6.05.2014,"Rebel toll from Slavyansk raid tops 30: interior minister",8085,23001
153154,6.05.2014,"Rebel toll from Slavyansk raid tops 30: interior minister",8086,23000
153154,6.05.2014,"Ukraine says more than 30 separatists killed in Slaviansk fighting",8087,23000
153154,6.05.2014,"Ukraine says more than 30 separatists killed in Slaviansk fighting",8088,23001
153154,8.05.2014,"With tears and anger- Slavyansk buries its dead",8089,23001
153154,8.05.2014,"With tears and anger- Slavyansk buries its dead",8090,23000
153154,27.04.2021,Sloviansk,8091,23000
153154,27.04.2021,Sloviansk,8092,23008
153435,9.05.2014,"WRAPUP 5-Putin marks Victory in Crimea as Ukraine violence flares",8093,23008
153435,9.05.2014,"WRAPUP 5-Putin marks Victory in Crimea as Ukraine violence flares",8094,23001
153435,9.05.2014,"Armoured vehicles used against civil population by Ukrainian law enforcers in Mariupol",8095,23001
153435,9.05.2014,"Armoured vehicles used against civil population by Ukrainian law enforcers in Mariupol",8096,23004
153435,9.05.2014,"UPDATE 2-About 20 pro-Russia rebels killed in fighting in east Ukraine- minister",8097,23004
153435,9.05.2014,"UPDATE 2-About 20 pro-Russia rebels killed in fighting in east Ukraine- minister",8098,23001
153435,9.05.2014,"Ukrainian troops- pro-Russian rebels clash in Mariupol- eight dead-Interfax-Ukraine",8099,23001
153435,9.05.2014,"Ukrainian troops- pro-Russian rebels clash in Mariupol- eight dead-Interfax-Ukraine",8100,23001
153435,9.05.2014,"Casualties as fighting breaks out in Ukraine port city of Mariupol",8101,23001
153435,9.05.2014,"Casualties as fighting breaks out in Ukraine port city of Mariupol",8102,23000
153435,27.04.2021,Mariupol,8103,23000
153435,27.04.2021,Mariupol,8104,23008
400158,27.04.2021,Sloviansk,8105,23008
153997,13.05.2014,"Six Ukraine soldiers killed by rebel fire in east: ministry",8106,23008
153997,13.05.2014,"Six Ukraine soldiers killed by rebel fire in east: ministry",8107,23000
153997,13.05.2014,"Six Ukraine soldiers killed in rebel ambush: ministry",8108,23000
153997,13.05.2014,"Six Ukraine soldiers killed in rebel ambush: ministry",8109,23000
153997,13.05.2014,"Six Ukrainian soldiers killed in ambush in eastern Ukraine-Defence Ministry",8110,23000
153997,13.05.2014,"Six Ukrainian soldiers killed in ambush in eastern Ukraine-Defence Ministry",8111,23001
153997,13.05.2014,"Seven Ukraine soldiers killed in rebel ambush: ministry",8112,23001
153997,13.05.2014,"Seven Ukraine soldiers killed in rebel ambush: ministry",8113,23000
153997,13.05.2014,"Attack on Ukraine's army convoy kills 6 troops",8114,23000
153997,13.05.2014,"Attack on Ukraine's army convoy kills 6 troops",8115,23013
153997,13.05.2014,"Fresh violence rattles new Europe push for Ukraine talks",8116,23013
153997,13.05.2014,"Fresh violence rattles new Europe push for Ukraine talks",8117,23000
153997,13.05.2014,"Six Ukrainian servicemen killed in armed clash in eastern Ukraine - Defense Ministry",8118,23000
153997,13.05.2014,"Six Ukrainian servicemen killed in armed clash in eastern Ukraine - Defense Ministry",8119,23004
153997,14.05.2014,"Fresh violence rattles new Europe push for Ukraine talks",8120,23004
153997,14.05.2014,"Fresh violence rattles new Europe push for Ukraine talks",8121,23000
153997,14.05.2014,"Defense Ministry recounts May 13 ambush near Kramatorsk that claimed six lives",8122,23000
153997,14.05.2014,"Defense Ministry recounts May 13 ambush near Kramatorsk that claimed six lives",8123,23009
153997,27.04.2021,Oktjabrskoje,8124,23009
153997,27.04.2021,Oktjabrskoje,8125,23008
154007,19.05.2014,"Ukraine soldier killed in 'kindergarten' rebel attack",8126,23008
154007,19.05.2014,"Ukraine soldier killed in 'kindergarten' rebel attack",8127,23000
154007,27.04.2021,"Mount Karachun",8128,23000
154007,27.04.2021,"Mount Karachun",8129,23008
400186,27.04.2021,"No Geolocation",8130,23008
154030,22.05.2014,"Nine Ukrainian soldiers killed in rebel attacks: ministry",8131,23008
154030,22.05.2014,"Nine Ukrainian soldiers killed in rebel attacks: ministry",8132,23000
154030,22.05.2014,"Deadliest day for Ukraine troops: 16 slain in raid",8133,23000
154030,22.05.2014,"Deadliest day for Ukraine troops: 16 slain in raid",8134,23003
154030,22.05.2014,"13 Ukrainians killed in clash with separatists - president's office",8135,23003
154030,22.05.2014,"13 Ukrainians killed in clash with separatists - president's office",8136,23001
154030,22.05.2014,"UPDATE 2-Thirteen Ukrainians dead in pre-election clash with pro-Russia rebels",8137,23001
154030,22.05.2014,"UPDATE 2-Thirteen Ukrainians dead in pre-election clash with pro-Russia rebels",8138,23001
154030,22.05.2014,"Ukraine raises death toll from rebel attacks in east to 17",8139,23001
154030,22.05.2014,"Ukraine raises death toll from rebel attacks in east to 17",8140,23000
154030,22.05.2014,"Black day for Ukraine military ahead of key vote",8141,23000
154030,22.05.2014,"Black day for Ukraine military ahead of key vote",8142,23000
417904,13.10.2014,Volnovakha,8143,23000
154034,23.05.2014,"Mobilisation starts in self-proclaimed Donetsk Republic",8144,23008
154034,23.05.2014,"Mobilisation starts in self-proclaimed Donetsk Republic",8145,23004
154034,27.05.2014,"Donbas Volunteer Battalion Tells About Karlovka Battle",8146,23004
154034,27.05.2014,"Donbas Volunteer Battalion Tells About Karlovka Battle",8147,23014
154034,23.05.2014,"Mobilisation starts in self-proclaimed Donetsk Republic",8148,23014
154034,23.05.2014,"Mobilisation starts in self-proclaimed Donetsk Republic",8149,23004
154034,23.05.2014,"Five dead in fighting near Ukraine's Donetsk: AFP",8150,23004
154034,23.05.2014,"Five dead in fighting near Ukraine's Donetsk: AFP",8151,23000
154034,23.05.2014,"Five dead in fighting near Ukraine's Donetsk: AFP",8152,23000
154034,23.05.2014,"Five dead in fighting near Ukraine's Donetsk: AFP",8153,23000
154034,23.05.2014,"Putin vows to respect Ukraine vote but warns of civil war",8154,23000
154034,23.05.2014,"Putin vows to respect Ukraine vote but warns of civil war",8155,23000
154034,27.04.2021,Karlivka,8156,23000
154034,27.04.2021,Karlivka,8157,23008
400197,27.04.2021,"Zolotyi Kolodiaz",8158,23008
400197,9.06.2014,"Zolotoy Kolodets",8159,23015
400200,27.04.2021,Novopavlivka,8160,23008
406991,24.05.2014,Sloviansk,8161,23008
154047,25.05.2014,"Italian journalist killed in eastern Ukraine: foreign ministry",8162,23008
154047,25.05.2014,"Italian journalist killed in eastern Ukraine: foreign ministry",8163,23000
154047,25.05.2014,"Italian journalist believed killed near Slaviansk - Ukraine",8164,23000
154047,25.05.2014,"Italian becomes first journalist killed in east Ukraine",8165,23001
154049,25.05.2014,"Brother of people?s mayor of Mariupol detained by police - Ukrainian interior ministry",8166,23000
154050,26.05.2014,"Governor of Donetsk Republic reports firing at truck carrying wounded claims 35 lives",8167,23004
154050,27.05.2014,"Pro-Russian rebel says 30-35 separatists dead in fighting in east Ukraine",8168,23004
154050,27.05.2014,"Forty killed in Donetsk fighting: local mayor",8169,23001
154050,27.05.2014,"Forty said dead in Donetsk fighting- most of them rebels",8170,23000
154050,27.05.2014,"Dozens dead as Ukraine claims control of Donetsk airport",8171,23001
154050,27.05.2014,"Dozens dead as Ukraine claims control of Donetsk airport",8172,23000
154050,27.05.2014,"WRAPUP 2-More than 50 rebels killed as new Ukraine leader unleashes assault",8173,23000
154054,27.05.2014,"UPDATE 5-Fighting rages in eastern Ukraine city- dozens dead",8174,23001
406994,30.05.2014,Shelyemin,8175,23001
154058,29.05.2014,"Ukraine rebels down helicopter- killing 14 troops: president",8176,23008
154058,29.05.2014,"Ukraine rebels down helicopter- killing 14 troops: president",8177,23000
154058,29.05.2014,"WRAPUP 1-Ukraine separatists down army helicopter- 14 killed",8178,23000
154058,29.05.2014,"Ukraine rebels down army helicopter- killing 12 troops",8179,23001
154058,29.05.2014,Slavyansk,8180,23000
154062,2.06.2014,"Russia-Ukraine border checkpoints become a new frontline",8181,23008
406995,3.06.2014,"Krasnyi Lyman",8182,23000
406995,3.06.2014,"Krasnyi Lyman",8183,23008
406995,4.06.2014,"Conflicting accounts in heightened eastern Ukraine fighting",8184,23008
406995,4.06.2014,"Conflicting accounts in heightened eastern Ukraine fighting",8185,23016
406996,3.06.2014,Sloviansk,8186,23016
406996,3.06.2014,Sloviansk,8187,23008
406996,4.06.2014,"Conflicting accounts in heightened eastern Ukraine fighting",8188,23008
406996,4.06.2014,"Conflicting accounts in heightened eastern Ukraine fighting",8189,23016
154067,4.06.2014,"Conflicting accounts in heightened eastern Ukraine fighting",8190,23016
154068,6.06.2014,"Police officer killed- two injured in Ukraine rebel attack",8191,23016
154068,6.06.2014,"Police officer killed- two injured in Ukraine rebel attack",8192,23000
154068,6.06.2014,Sloviansk,8193,23000
154068,6.06.2014,Sloviansk,8194,23008
407090,10.06.2014,slavyansk,8195,23008
154070,10.06.2014,"Ukraine says repulses separatist mortar attacks",8196,23008
154070,10.06.2014,"Ukraine says repulses separatist mortar attacks",8197,23001
154177,17.06.2014,"Report on the human rights situation in Ukraine 15 June 2014",8198,23001
407094,12.06.2014,Savur-Mohyla,8199,23007
407096,12.06.2014,Stepanivka,8200,23008
407098,13.06.2014,"Amvrosiivskyi district",8201,23008
407100,13.06.2014,Sloviansk,8202,23008
407136,16.06.2014,Sloviansk,8203,23008
154072,13.06.2014,"Ukrainian forces surround rebel-held port city",8204,23008
154074,15.01.2014,"More than 50 self-defense fighters killed during airstrike in Kramatorsk",8205,23001
154156,15.06.2014,"Ukraine vows to punish rebels who downed plane",8206,23017
154156,15.06.2014,"Ukraine vows to punish rebels who downed plane",8207,23003
154156,14.06.2014,Mariupol,8208,23003
154156,14.06.2014,Mariupol,8209,23008
407173,17.06.2014,Oleksiyivske,8210,23008
154179,20.06.2014,"New battles as Ukraine says 300 separatists killed in fighting",8211,23008
154179,20.06.2014,"New battles as Ukraine says 300 separatists killed in fighting",8212,23001
154179,20.06.2014,"Ukraine leader declares week-long ceasefire in east",8213,23001
154179,20.06.2014,"Ukraine leader declares week-long ceasefire in east",8214,23000
154179,19.06.2014,"Near Krasnyi Lyman",8215,23000
154179,19.06.2014,"Near Krasnyi Lyman",8216,23008
154178,17.06.2014,"Report on the human rights situation in Ukraine 15 June 2014",8217,23008
154405,21.06.2014,Dobropillya,8218,23007
154404,24.06.2014,"Kiev sabotages ceasefire agreements - Donetsk leader",8219,23008
154182,24.06.2014,"Ukraine rebels down helicopter- killing nine despite truce",8220,23004
154182,24.06.2014,"Ukraine rebels down helicopter- killing nine despite truce",8221,23000
154182,24.06.2014,Krasnoarmeyskoye,8222,23000
154182,24.06.2014,Krasnoarmeyskoye,8223,23008
407195,24.06.2014,Panchenkove,8224,23008
407196,27.06.2014,Slavyansk,8225,23008
154409,28.06.2014,Sloviansk,8226,23008
154409,28.06.2014,Sloviansk,8227,23008
154409,28.06.2014,"UPDATE 1-Ukraine rebels free OSCE monitors- 3 Ukrainians killed in attack",8228,23008
154409,28.06.2014,"UPDATE 1-Ukraine rebels free OSCE monitors- 3 Ukrainians killed in attack",8229,23001
154410,30.06.2014,"Last word ?camera?! Russian journalist killed in E. Ukraine working till dying breath",8230,23001
154412,1.07.2014,"Pro-Russian rebels capture police HQ in Ukraine",8231,23018
154412,1.07.2014,"Pro-Russian rebels capture police HQ in Ukraine",8232,23003
154412,1.07.2014,Donetsk,8233,23003
154412,1.07.2014,Donetsk,8234,23008
407199,30.06.2014,"Valentin P. Churuta",8235,23008
407200,30.06.2014,"Kryva Luka",8236,23008
407305,1.07.2014,Sloviansk,8237,23008
418937,1.07.2014,Donetsk,8238,23008
154734,4.08.2014,"Kiev authorities no longer concerned with the lives of civilians- military and militias - Russian Foreign Ministry",8239,23008
407331,2.07.2014,Novoazovsk,8240,23004
407331,3.07.2014,Novoazovsk,8241,23008
407334,2.07.2014,Markine,8242,23008
392366,2.07.2014,"Civilian killed- water pumping station damaged in shelling in east Ukraine",8243,23008
392366,2.07.2014,"Civilian killed- water pumping station damaged in shelling in east Ukraine",8244,23019
154413,3.07.2014,Donetsk,8245,23019
154413,3.07.2014,Donetsk,8246,23008
154413,17.07.2014,Donetsk,8247,23008
154413,17.07.2014,Donetsk,8248,23008
154413,3.07.2014,"Gunmen kill three police in east Ukraine's Donetsk",8249,23008
154413,3.07.2014,"Gunmen kill three police in east Ukraine's Donetsk",8250,23000
407373,3.07.2014,Sloviansk,8251,23000
407414,4.07.2014,"Ukraine claims winning ground in rebellious east",8252,23008
407414,4.07.2014,"Kiev says 13 military personnel killed in fighting in east Ukraine",8253,23003
407407,4.07.2014,Sloviansk,8254,23001
407408,4.07.2014,"Novoselovka Pervaya",8255,23008
407409,5.07.2014,Sloviansk,8256,23008
407410,5.07.2014,Sedovo,8257,23008
407413,8.06.2014,Amrosiivka,8258,23008
407417,9.07.2014,Sedovo,8259,23008
154633,10.07.2014,"Three Ukrainian soldiers killed in further clashes in the east",8260,23008
154633,10.07.2014,"Three Ukrainian soldiers killed in further clashes in the east",8261,23001
154633,9.07.2014,Dmitrovka,8262,23001
154633,9.07.2014,Dmitrovka,8263,23008
154633,29.07.2014,Dmitrovka,8264,23008
154633,29.07.2014,Dmitrovka,8265,23008
154652,11.07.2014,"At least four servicemen killed in eastern Ukraine",8266,23008
154652,11.07.2014,"At least four servicemen killed in eastern Ukraine",8267,23001
154652,10.07.2014,Kurakhovo,8268,23001
154652,10.07.2014,Kurakhovo,8269,23008
407452,10.07.2014,"Donetsk Airport",8270,23008
407453,10.07.2014,Ulyanovsk,8271,23008
408434,1.08.2014,Karlivka,8272,23008
407513,11.07.2014,Mnogopillya,8273,23008
407503,11.07.2014,Seversk,8274,23008
154666,12.07.2014,"4 civilians killed in artillery fire in Ukraine",8275,23008
154667,12.07.2014,"UPDATE 2-Ukraine jets pound rebels after deadly missile attack",8276,23003
154690,24.07.2014,"Ukraine: Unguided Rockets Killing Civilians",8277,23001
407527,12.07.2014,Marinovka,8278,23020
407529,11.07.2014,Marinivka,8279,23008
407555,13.07.2014,Gostre,8280,23008
407573,13.07.2014,Kalinovoe,8281,23008
407598,14.07.2014,Amvrosiivka,8282,23008
407615,14.07.2014,Dibrovka,8283,23008
407615,14.07.2014,Dibrovka,8284,23008
407695,15.07.2014,Horlivka,8285,23008
407696,15.07.2014,Amvrosiivka,8286,23008
154676,15.07.2014,"Soldiers killed in Ukraine- Kiev points at Moscow over air strike",8287,23008
154676,15.07.2014,"Soldiers killed in Ukraine- Kiev points at Moscow over air strike",8288,23001
154676,15.07.2014,"UPDATE 3-Ukraine sees Russian role in air strike on town",8289,23001
154676,15.07.2014,"UPDATE 3-Ukraine sees Russian role in air strike on town",8290,23001
407710,16.07.2014,Marinovka,8291,23001
407710,16.07.2014,Marinovka,8292,23008
407710,17.07.2014,Marinovka,8293,23008
407729,17.07.2014,Marinovka,8294,23008
154679,17.07.2014,"WRAPUP 1-Ukraine says rebels shoot down Malaysian airliner- 295 dead",8295,23008
154679,17.07.2014,"Many dead at airliner crash site: AFP",8296,23001
154679,17.07.2014,"Many dead at airliner crash site: AFP",8297,23000
154679,17.07.2014,"WRAPUP 2-Malaysian airliner downed in Ukraine war zone- 295 dead",8298,23000
154679,20.07.2014,"Cameron demands Russia cease support for rebels",8299,23001
154679,21.07.2014,"Bodies from downed jet piled in boxcars in Ukraine",8300,23003
154679,18.07.2014,"Ukraine closes airspace over conflict zone",8301,23003
407739,18.07.2014,"Luhansk-Donetsk Border",8302,23001
407740,18.07.2014,Tarany,8303,23008
407751,19.07.2014,Marinovka,8304,23008
407752,19.07.2014,Romanivka,8305,23008
154684,20.07.2014,"Deadly fighting rages on in east Ukraine despite plane crash",8306,23008
154683,21.07.2014,"UPDATE 5-Fighting flares in centre of Donetsk- five dead",8307,23000
407777,21.07.2014,Nelipivka,8308,23001
408084,21.07.2014,Pisky,8309,23008
408085,21.07.2014,Pisky,8310,23008
408087,21.07.2014,Spartak,8311,23008
408093,22.07.2014,Kozhevnya,8312,23008
408170,23.07.2014,"Chervonaya Zarya",8313,23008
408159,23.07.2014,Amvrosiivka,8314,23008
408161,23.07.2014,"Marinovka checkpoint",8315,23008
408166,23.07.2021,Amvrosivka,8316,23008
408168,23.07.2014,Lozovoe,8317,23008
408179,24.07.2014,Semirgya,8318,23008
408241,26.07.2014,Kozhevnya,8319,23008
408227,25.07.2014,Pisky,8320,23008
408278,25.07.2014,"Marynivka checkpoint",8321,23008
408238,26.07.2014,"Donetsk Obl.",8322,23008
408238,26.07.2014,"Donetsk obl.",8323,23008
408234,26.07.2014,Popasna,8324,23008
408277,27.07.2014,Tarany,8325,23008
154693,28.07.2014,"Ukraine troops advance as experts renew attempt to reach crash site",8326,23008
154692,27.07.2014,"13 including two children- killed in Ukraine rebel city clashes",8327,23001
154692,27.07.2014,"MH17 armed mission 'unrealistic' as Ukraine fighting kills 13",8328,23000
155076,27.08.2014,"Report on the human rights situation in Ukraine 17 August 2014",8329,23000
408255,27.07.2014,Gorbachevo-Mykhailivka,8330,23021
408258,27.07.2014,"Saur Moglia",8331,23008
408261,27.07.2014,"Dovzhansky checkpoint",8332,23008
408273,27.07.2014,Torez,8333,23008
408273,4.08.2014,Torez,8334,23008
408253,27.07.2014,Debaltseve,8335,23008
417760,1.10.2014,Debaltseve,8336,23008
408280,28.07.2014,Saur-Mogila,8337,23008
408281,28.07.2014,Saur-Mogila,8338,23008
408291,28.07.2014,Shaktarsk,8339,23008
408299,28.07.2014,Dibrovka,8340,23008
408303,28.07.2014,"Saur Mogila",8341,23008
408306,28.07.2014,stepanovka,8342,23008
154696,29.07.2014,"Dozens killed in E. Ukraine as heavy fighting continues",8343,23008
154694,29.07.2014,"Civilians killed in eastern Ukraine amid fierce fighting",8344,23013
154694,29.07.2014,"Dozens killed in E. Ukraine as heavy fighting continues",8345,23001
154697,29.07.2014,"22 civilians- 3 children killed in southeastern Ukraine",8346,23013
154697,29.07.2014,"22 civilians- 3 children killed in southeastern Ukraine",8347,23004
154697,29.07.2014,operations/latysheve,8348,23004
154697,29.07.2014,operations/latysheve,8349,23008
154697,29.07.2014,Latishev,8350,23008
154697,29.07.2014,Latishev,8351,23008
154698,29.07.2014,"UPDATE 2-Dozens killed in fierce fighting in eastern Ukraine",8352,23008
154698,29.07.2014,"Shelling adds to mounting civilian toll in Ukraine",8353,23001
408318,30.07.2014,"Mius River",8354,23003
408325,30.07.2014,Shakhtarsk,8355,23008
408334,30.07.2014,Pisky,8356,23008
408329,30.07.2014,Stepanovka,8357,23008
408329,31.07.2014,Stepanovka,8358,23008
408406,31.07.2014,Mriya,8359,23008
408412,31.07.2014,Saur-Mohyla,8360,23008
408421,31.07.2014,Vasilyevka,8361,23008
154702,1.08.2014,"Dutch- Australian experts at MH17 Ukraine site after clashes kill 14",8362,23008
154702,1.08.2014,"Dutch- Australian experts at MH17 Ukraine site after clashes kill 14",8363,23000
154702,31.07.2014,Shakhtyorsk,8364,23000
154702,31.07.2014,Shakhtyorsk,8365,23008
154702,1.08.2014,Shakhtarsk,8366,23008
154702,1.08.2014,Shakhtarsk,8367,23008
154703,1.08.2014,"Dutch- Australian experts at MH17 Ukraine site after clashes kill 14",8368,23008
408428,1.08.2014,Krasnogorovka,8369,23000
408430,1.08.2014,Avdiivka,8370,23008
408431,1.08.2014,Marinka,8371,23008
408441,1.08.2014,Petrovskoye,8372,23008
408444,1.08.2014,Paraskoviyivka,8373,23008
408447,1.08.2014,"ATO zone",8374,23008
408448,1.08.2014,Stepanovka,8375,23008
408460,2.08.2014,Kontarnoye,8376,23008
408464,2.08.2014,Dokuchayevsk,8377,23008
408464,2.08.2014,Dokuchayevsk,8378,23008
408465,2.08.2014,Shakhtarsk,8379,23008
408466,2.08.2014,"Orlovo - Ivanivka",8380,23008
154707,3.08.2014,"Fighting kills six civilians in Ukraine's Donetsk",8381,23008
154732,4.08.2014,"Kiev authorities no longer concerned with the lives of civilians- military and militias - Russian Foreign Ministry",8382,23000
408497,3.08.2018,Marinka,8383,23004
408502,3.08.2014,Stepanovka,8384,23008
408487,4.08.2014,Savur-Mohyla,8385,23008
408495,4.08.2014,Savur-Mogyla,8386,23008
154847,5.08.2014,"Eight self-defense fighters wounded in Donetsk mine blast",8387,23008
154999,6.08.2014,"Rebel-held Donetsk hit by air strike as govt forces close in",8388,23004
155000,6.08.2014,"Rebel-held Donetsk hit by air strike as govt forces close in",8389,23000
410213,5.08.2014,Horlivka,8390,23000
410216,5.08.2014,"Saur-Mogila hill",8391,23008
410220,5.08.2014,Amvrosiyivka,8392,23008
410223,5.08.2014,Snizhne,8393,23008
410227,5.08.2014,"Saur Mogila hill",8394,23008
410232,5.08.2014,Petropavlovsk,8395,23008
410232,5.08.2014,Petropavlovsk,8396,23008
410232,5.08.2014,"2S9 915",8397,23008
410232,5.08.2014,"2S9 915",8398,23022
410250,6.08.2014,Savur-Mohyla,8399,23022
410672,6.08.2021,Stepanovka,8400,23008
410675,6.08.2021,Stepanovka,8401,23008
410679,7.08.2021,Debaltseve,8402,23008
410634,6.08.2021,Dmytrivka,8403,23008
